date,texte
2020-03-12,Global markets crash as WHO declares COVID-19 pandemic.
2020-03-23,Fed announces unlimited quantitative easing to support economy.
2020-05-11,Bitcoin halving event occurs, reducing block reward.
2020-08-31,Apple stock split 4-for-1 takes effect today.
2020-11-09,Pfizer announces positive data for COVID-19 vaccine.
2021-01-04,Crypto market rallies as institutional interest grows.
2021-02-08,Tesla announces $1.5B investment in Bitcoin.
2021-05-19,Crypto crash following concerns over mining energy consumption.
2021-09-07,El Salvador adopts Bitcoin as legal tender.
2021-11-10,US inflation hits highest level in 30 years.
2022-02-24,Geopolitical tensions rise as conflict begins in Ukraine.
2022-05-04,Fed raises rates by 50 basis points to fight inflation.
2022-06-15,Fed hikes rates by 75 bps, largest increase since 1994.
2022-11-11,FTX files for bankruptcy, shaking crypto markets.
2022-12-14,Fed slows pace of rate hikes but signals higher peak.
